"","numDF","F-value","p-value"
"(Intercept)",1,1343.19905768922,2.61414212981619e-48
"sp",2,42.0387950506851,8.01143003103148e-13
"DAP",1,3.31208110523718,0.0729289493025571
"t",5,70.0606509734127,2.85997530700831e-26
"sp:DAP",2,1.83782321896063,0.166551615718386
"sp:t",10,4.46580954883746,6.70613691886307e-05
"DAP:t",5,0.498326654362113,0.776499385384782
"sp:DAP:t",10,0.204910771091972,0.995233934202784
